Time,Time Code,Country Name,Country Code,Control of Corruption: Estimate [CC.EST],Government Effectiveness: Estimate [GE.EST],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Rule of Law: Estimate [RL.EST],Voice and Accountability: Estimate [VA.EST]
1996,YR1996,France,FRA,1.24740922451019,1.25185739994049,0.887499451637268,1.48368334770203,1.3111584186554
1996,YR1996,Afghanistan,AFG,-1.29170477390289,-2.17516660690308,-2.41730952262878,-1.78807544708252,-1.90854012966156
1996,YR1996,Albania,ALB,-0.893903493881226,-0.68858790397644,-0.336625128984451,-0.684481799602509,-0.648297846317291
1996,YR1996,Algeria,DZA,-0.566740930080414,-1.08876645565033,-1.78331053256989,-1.21819484233856,-1.16629016399384
1996,YR1996,American Samoa,ASM,..,..,..,..,..
1996,YR1996,Andorra,AND,1.31814324855804,1.41403770446777,1.16952216625214,1.15836250782013,1.56321668624878
1996,YR1996,Angola,AGO,-1.1677018404007,-0.859939992427826,-2.06191730499268,-1.63046932220459,-1.57816350460052
1996,YR1996,Anguilla,AIA,..,..,..,..,..
1996,YR1996,Antigua and Barbuda,ATG,0.869897186756134,0.644922494888306,0.717076897621155,1.05084490776062,0.333532422780991
1996,YR1996,Argentina,ARG,-0.101317152380943,0.165690049529076,0.111376881599426,0.0755526423454285,0.39190337061882
1996,YR1996,Armenia,ARM,-0.473051309585571,-0.380564451217651,-0.364998608827591,-0.469098508358002,-0.56990909576416
1996,YR1996,Aruba,ABW,..,..,..,..,..
1996,YR1996,Australia,AUS,1.8773558139801,1.8005645275116,1.39611268043518,1.71339905261993,1.44020295143127
1996,YR1996,Austria,AUT,1.73216354846954,1.73164963722229,1.41046285629272,1.80815303325653,1.44895005226135
1996,YR1996,Azerbaijan,AZE,-1.44561946392059,-0.916389584541321,-0.828929543495178,-1.20116150379181,-1.12103068828583
1996,YR1996,"Bahamas, The",BHS,1.1568101644516,1.37324202060699,1.07101774215698,1.14636123180389,1.10283946990967
1996,YR1996,Bahrain,BHR,0.328688681125641,0.776639640331268,-0.307817906141281,-0.0101162660866976,-0.718783438205719
1996,YR1996,Bangladesh,BGD,-0.969682216644287,-0.687850117683411,-0.548815250396729,-0.93402373790741,-0.0584283582866192
1996,YR1996,Barbados,BRB,1.54272639751434,1.41403770446777,1.05037176609039,1.04677295684814,1.34296929836273
1996,YR1996,Belarus,BLR,-0.389609158039093,-0.380564451217651,0.0937392041087151,-0.798983991146088,-0.819772601127625
1996,YR1996,Belgium,BEL,1.35965430736542,1.71154367923737,1.28849947452545,1.36694669723511,1.43329954147339
1996,YR1996,Belize,BLZ,-0.0265951305627823,0.388550758361816,0.559152126312256,0.084681548178196,0.824221611022949
1996,YR1996,Benin,BEN,-0.548114895820618,-0.380564451217651,1.05037176609039,0.0523155070841312,0.259205192327499
1996,YR1996,Bermuda,BMU,1.31814324855804,1.15766596794128,0.717076897621155,1.21020126342773,1.18036329746246
1996,YR1996,Bhutan,BTN,0.942838490009308,0.644922494888306,0.724004507064819,-0.0315036252140999,-0.952189922332764
1996,YR1996,Bolivia,BOL,-0.8248291015625,-0.17498953640461,-0.134768322110176,-0.261528313159943,0.155518606305122
1996,YR1996,Bosnia and Herzegovina,BIH,-0.270569711923599,-1.19204592704773,-0.594427824020386,-0.241686642169952,-0.103825636208057
1996,YR1996,Botswana,BWA,0.8179612159729,0.556376993656158,1.01524519920349,0.584521055221558,0.86250102519989
1996,YR1996,Brazil,BRA,-0.0185795314610004,-0.143133714795113,-0.220460131764412,-0.223502203822136,0.242076978087425
1996,YR1996,Brunei Darussalam,BRN,0.478994995355606,0.927289664745331,1.23704397678375,0.816034913063049,-0.649972319602966
1996,YR1996,Bulgaria,BGR,-0.361505150794983,-0.0425848290324211,-0.0910280793905258,-0.344958007335663,0.428986370563507
1996,YR1996,Burkina Faso,BFA,0.11151909083128,-0.928940415382385,-0.300746202468872,-0.933221638202667,-0.533439755439758
1996,YR1996,Burundi,BDI,-0.68063485622406,-1.6624231338501,-2.11674880981445,-1.41612029075623,-1.54957222938538
1996,YR1996,Cabo Verde,CPV,1.14333736896515,..,1.03555142879486,1.04418814182281,0.937576174736023
1996,YR1996,Cambodia,KHM,-1.01984238624573,-0.724763095378876,-1.10455310344696,-1.19436883926392,-0.749472379684448
1996,YR1996,Cameroon,CMR,-1.33498477935791,-1.08020269870758,-0.956391930580139,-1.44189488887787,-0.938624918460846
1996,YR1996,Canada,CAN,2.03140759468079,1.74236369132996,1.23405170440674,1.64725470542908,1.56633579730988
1996,YR1996,Cayman Islands,CYM,1.31814324855804,1.92678117752075,0.717076897621155,1.45976829528809,1.62061822414398
1996,YR1996,Central African Republic,CAF,-1.14093124866486,-1.40605127811432,-1.21172964572906,-1.15238130092621,-0.827540695667267
1996,YR1996,Chad,TCD,-1.38042390346527,-0.636936128139496,-0.99860155582428,-1.25611138343811,-0.99362987279892
1996,YR1996,Chile,CHL,1.4541187286377,1.33797693252563,0.676454544067383,1.11373817920685,0.722760617733002
1996,YR1996,China,CHN,-0.271189510822296,-0.348653882741928,-0.0978488251566887,-0.545589983463287,-1.36154520511627
1996,YR1996,Colombia,COL,-0.512254357337952,-0.45862889289856,-1.64785850048065,-0.75183779001236,-0.510942339897156
1996,YR1996,Comoros,COM,-0.998565018177032,-1.6624231338501,0.507538914680481,-0.878604292869568,-0.42399662733078
1996,YR1996,"Congo, Dem. Rep.",COD,-1.64785194396973,-1.64999783039093,-2.68281292915344,-1.87656342983246,-1.60094857215881
